1504.21,205.68,2009.65,806.38,2808.61,1353.77,3136.18
1956.12,1080.74,2384.33,1676.77,183.01,3359.83,900.53
2335.05,762.59,2538.01,2707.17,3001.62,621.56,1325.55
2443.01,749.59,1334.97,797.48,2317.54,99.59,1144.80
3572.24,128.98,1995.90,3521.53,1659.60,3388.33,3110.80
608.47,1022.14,2998.34,3317.41,1463.33,2897.08,1061.68
1425.08,486.39,2815.73,2575.99,1956.62,582.34,1133.44
961.37,958.57,2205.38,3137.47,1813.53,3343.62,3294.26
1308.31,1789.87,2080.98,2170.62,297.73,3265.53,1997.40
2044.11,3270.10,3092.03,1039.66,2858.16,2540.46,2008.67
