8.75,3.94,0.93,9.94,1.21,3.55,0.04,5.28,3.4,2.59,5.88,9.38,1.04,2.17,7.48
1.45,3.16,1.39,7.28,7.52,6.24,5.42,2.04,5.07,7.04,8.2,8.65,9.1,5.09,7.59
6.89,2.38,4.88,3.96,6.42,4.69,9.65,9.82,4.3,4.79,1.39,8.04,1.39,2.31,9.95
4.49,8.22,8.63,8.65,5.09,1.42,2.44,6.95,8.88,4.33,5.67,7.71,9.59,1.05,0.33
0.04,9.88,5.96,0.97,6.69,9.38,2.97,1.29,4.86,4.81,4.68,6.39,9.09,5.35,5.65
2.52,7.62,6.24,5.73,5.72,9.54,4.38,6.49,7.28,2.38,0.21,0.17,6.39,6.12,1.71
0.11,6.87,6.28,8.6,1.94,3.39,6.61,8.98,0.83,7.01,1.86,2.55,1.7,6.3,6.76
1.34,6.62,2.24,8.01,3.27,1.7,3.21,5.27,7.65,4.74,0.31,6.52,1.07,0.74,2.49
5.03,5.84,8.03,1.53,1.88,9,4.53,4.04,8.14,5.27,0.35,0.17,8.75,0.62,6.92
3.35,4.35,4.31,3.23,3.38,5.98,5.29,9.48,0.58,9.41,9.14,6.52,9.48,8.15,8.52
9.81,2.15,3.9,3.73,3.09,2.42,4.39,6.58,8.07,4.68,4.52,0.39,2.11,6.47,0.29
0.24,1.62,3.57,0.87,0.29,9.03,2.75,1.67,1.74,6.44,2.98,7.07,2.28,2.67,1.78
4.91,4,5.48,4.13,6.99,4.68,2.02,7.7,1.35,5.18,2.72,2.47,8.37,3.05,6.73
2.17,8.12,4.63,0.11,7.4,8.27,5.33,8.71,7.4,0.67,8.52,2.52,3.42,3.91,1.09
6.19,0.98,7.62,0.59,4.26,1.12,4.69,4.31,1.02,9.63,3.72,5.9,2.65,4.43,2.14
5.91,1.34,0.28,6.44,0.97,6.79,6.71,5.22,3.08,6.86,6.79,2.4,4.39,7.88,2.99
3.98,7.91,7.78,1.56,6.15,7.57,3.32,1.76,2.5,0.68,2.08,0.1,9.21,9.66,1.94
1.48,6.17,9.55,8.38,2.86,0.49,5.48,5.52,6,2.73,0.5,4.08,8.24,8.35,8.51
6.42,2.48,3.92,3.1,4.8,6.34,0.78,3.15,9.17,8.34,2.21,9.54,5.67,5.91,1.12
0.48,7.04,7.96,3.58,4.72,8,4.59,5.62,5.87,5.45,3.92,6.45,4.42,4.17,0.94
2.62,2.83,4.13,4.4,9.54,2.75,2.87,6.4,8.29,8.89,9.03,3.39,8.51,9.82,3.61
4.43,1.56,6.57,9.4,4.91,9.94,8.5,2.67,0.41,3.61,0.99,3.61,9.06,4.73,5.1
6.24,7.21,6.18,1.56,10,8.69,3.98,0.44,3.63,7.02,2.9,5.62,2.92,8.06,9.03
1.28,5.3,3.76,3.99,5.65,8.39,6.38,5.3,4.69,4.67,4.45,4.33,1.7,6.88,9.24
7.42,0.6,8.68,4.15,8.42,0.66,4.99,0.82,2.87,0.31,0.48,8.44,9.09,0.64,2.76
4.1,7.3,1.92,8.93,9.98,9.11,3.75,6.21,1.99,5.69,2.68,7.6,6.25,0.94,4.18
5.84,2.67,2.19,3.15,0.99,3.11,4.56,7.11,2.59,9.82,7.04,3.01,2.71,4.02,4.66
3.61,0.43,2.24,5.01,4.99,7.66,9.8,0.84,7.8,2.27,4.66,8.43,7.57,7.32,9.98
5.4,1.43,5.84,6.11,3.39,1.94,3.97,6.65,6.35,8.52,1.24,9.91,1.4,2.04,1.24
7.3,6.28,2.35,4.77,5.69,3.89,8.54,4.13,4.57,1.15,9.94,7.52,4.12,4.33,1.79
8.61,4.99,7.92,6.91,9.98,3.88,0.8,8.65,3.47,2.88,6.62,6.74,0.14,4.64,6.09
2.33,5.31,5.3,2.65,7.09,3,9.44,8.2,2.84,1.84,4.96,9.57,1.94,4.64,8.6
4.27,3.18,1.12,9.67,7.39,9.35,1.89,4.98,3.89,8.95,2.96,5.63,7.9,9.92,4.87
0.63,7.66,7.62,8.25,1.1,0.42,2.8,9.64,7.29,8.4,7.69,8.24,4.91,3.02,7.82
0.6,9.37,8.27,2.88,4.9,9.08,0.16,9.66,1.23,5.23,5.66,0.04,0.64,4.54,3.05
9.32,4.64,4.71,1.74,0.99,7.12,7.92,3.77,5.99,2.99,9.06,4.47,7.82,8.1,9.83
9.81,4.89,6.9,4.9,5.83,5.12,1,7.05,7.56,0.49,7.98,4.78,3.21,9.72,8.19
6.11,5.4,9.99,0.02,3.72,4.47,0.32,2.11,9.22,2.59,5.75,4.61,2.37,9.89,3.74
2.95,9.8,7.45,0.4,6.11,2.32,9.81,7.79,3.27,9.39,3.15,8.41,3.56,5,9.79
4.01,6.21,0.46,8.73,9.91,7.4,9.46,4.86,4.38,4.64,8.78,4.59,4.26,8.92,1.09
